id_articulo;sku;nombre_articulo;descripcion;seccion;categoria;subcategoria;marca;gama;color;eficiencia_energetica;precio_lista;coste_unitario;proveedor;fecha_alta_articulo;activo;garantia_meses;peso_kg
ART000172;COCPLA-00172;Placa de induccion FrioMax Serie 7 5 zonas;Placas de induccion de gama media para uso domestico, con prestaciones equilibradas y garantia oficial.;Cocina;Cocina;Placas de induccion;FrioMax;Media;Grafito;D;599.99;394.91;Atlante Retail Supply;2022-09-26;Si;24;36.29
ART000177;COCMIC-00177;Microondas ElectraHome Pro 23 litros;Microonda de gama basica para uso domestico, con prestaciones equilibradas y garantia oficial.;Cocina;Cocina;Microondas;ElectraHome;Basica;Crema;A;219.99;143.73;Central Electro Iberica;2024-03-08;Si;24;3.44
ART000181;COCMIC-00181;Microondas Balayra Serie 7 25 litros;Microonda de gama basica para uso domestico, con prestaciones equilibradas y garantia oficial.;Cocina;Cocina;Microondas;Balayra;Basica;Crema;B;279.99;151.85;IberHome Supply;2023-08-25;Si;60;7.46
ART000182;COCMIC-00182;Microondas CleanBot Serie 5 30 litros;Microonda de gama basica para uso domestico, con prestaciones equilibradas y garantia oficial.;Cocina;Cocina;Microondas;CleanBot;Basica;Blanco;E;309.99;196.36;Central Electro Iberica;2023-03-21;Si;36;4.8
ART000188;COCMIC-00188;Microondas Balayra Serie 3 30 litros;Microonda de gama media para uso domestico, con prestaciones equilibradas y garantia oficial.;Cocina;Cocina;Microondas;Balayra;Media;Grafito;A;159.99;95.38;Atlante Retail Supply;2025-05-30;Si;24;5.82
ART000191;COCCAM-00191;Campana extractora EcoWash Smart 90 cm;Campanas extractora de gama media para uso domestico, con prestaciones equilibradas y garantia oficial.;Cocina;Cocina;Campanas extractoras;EcoWash;Media;Inox;D;469.99;294.01;Mediterranea Electro;2022-08-14;Si;24;25.71
ART000193;COCCAM-00193;Campana extractora CleanBot Advance 90 cm;Campanas extractora de gama media para uso domestico, con prestaciones equilibradas y garantia oficial.;Cocina;Cocina;Campanas extractoras;CleanBot;Media;Grafito;B;419.99;286.63;Hogar Norte Distribucion;2024-09-19;Si;36;10.07
ART000195;COCCAM-00195;Campana extractora Balayra Serie 7 60 cm;Campanas extractora de gama basica para uso domestico, con prestaciones equilibradas y garantia oficial.;Cocina;Cocina;Campanas extractoras;Balayra;Basica;Blanco;E;209.99;135.02;Mediterranea Electro;2025-03-17;Si;36;32.25
ART000199;COCCAM-00199;Campana extractora Balayra Serie 5 90 cm;Campanas extractora de gama media para uso domestico, con prestaciones equilibradas y garantia oficial.;Cocina;Cocina;Campanas extractoras;Balayra;Media;Negro;C;299.99;177.45;Atlante Retail Supply;2022-12-15;Si;60;18.3
ART000203;COCCAM-00203;Campana extractora KitchNova Plus 70 cm;Campanas extractora de gama media para uso domestico, con prestaciones equilibradas y garantia oficial.;Cocina;Cocina;Campanas extractoras;KitchNova;Media;Crema;A;349.99;192.67;Hogar Norte Distribucion;2022-02-21;Si;60;17.82
ART000253;LIMASP-00253;Aspiradora IberHome Pro sin bolsa;Aspiradora de gama media para uso domestico, con prestaciones equilibradas y garantia oficial.;Limpieza;Limpieza;Aspiradoras;IberHome;Media;Blanco;No aplica;119.99;66.3;Hogar Norte Distribucion;2022-10-23;Si;24;4.92
ART000256;LIMASP-00256;Aspiradora Balayra Plus compacta;Aspiradora de gama basica para uso domestico, con prestaciones equilibradas y garantia oficial.;Limpieza;Limpieza;Aspiradoras;Balayra;Basica;Negro;No aplica;199.99;127.82;Central Electro Iberica;2023-07-25;Si;24;1.01
ART000260;LIMASP-00260;Aspiradora IberHome Advance compacta;Aspiradora de gama media para uso domestico, con prestaciones equilibradas y garantia oficial.;Limpieza;Limpieza;Aspiradoras;IberHome;Media;Crema;No aplica;309.99;173.46;Central Electro Iberica;2022-09-24;Si;48;7.99
ART000264;LIMASP-00264;Aspiradora Balayra Serie 3 escoba;Aspiradora de gama media para uso domestico, con prestaciones equilibradas y garantia oficial.;Limpieza;Limpieza;Aspiradoras;Balayra;Media;Blanco;No aplica;169.99;105.35;Hogar Norte Distribucion;2025-06-29;Si;24;7.43
ART000269;LIMASP-00269;Aspiradora EcoWash Pro sin bolsa;Aspiradora de gama media para uso domestico, con prestaciones equilibradas y garantia oficial.;Limpieza;Limpieza;Aspiradoras;EcoWash;Media;Plata;No aplica;279.99;182.18;Central Electro Iberica;2025-04-10;Si;48;4.77
ART000276;LIMROB-00276;Robot aspirador CleanBot Smart con mapeo laser;Robots aspiradore de gama media para uso domestico, con prestaciones equilibradas y garantia oficial.;Limpieza;Limpieza;Robots aspiradores;CleanBot;Media;Crema;No aplica;839.99;590.19;IberHome Supply;2023-06-23;Si;24;1.08
ART000278;LIMROB-00278;Robot aspirador KitchNova Serie 5 con mapeo laser;Robots aspiradore de gama media para uso domestico, con prestaciones equilibradas y garantia oficial.;Limpieza;Limpieza;Robots aspiradores;KitchNova;Media;Inox;No aplica;409.99;235.87;Hogar Norte Distribucion;2023-02-22;Si;24;5.57
ART000281;LIMROB-00281;Robot aspirador HomeTech Smart con mapeo laser;Robots aspiradore de gama alta para uso domestico, con prestaciones equilibradas y garantia oficial.;Limpieza;Limpieza;Robots aspiradores;HomeTech;Alta;Blanco;No aplica;519.99;347.71;Mediterranea Electro;2023-02-14;Si;24;2.46
ART000285;LIMROB-00285;Robot aspirador HomeTech Pro con mapeo laser;Robots aspiradore de gama alta para uso domestico, con prestaciones equilibradas y garantia oficial.;Limpieza;Limpieza;Robots aspiradores;HomeTech;Alta;Crema;No aplica;479.99;323.8;Central Electro Iberica;2022-01-20;Si;24;4.0
ART000286;LIMROB-00286;Robot aspirador IberHome Serie 7 con mapeo laser;Robots aspiradore de gama media para uso domestico, con prestaciones equilibradas y garantia oficial.;Limpieza;Limpieza;Robots aspiradores;IberHome;Media;Inox;No aplica;429.99;289.95;IberHome Supply;2025-10-29;Si;36;1.62
ART000287;LIMROB-00287;Robot aspirador HomeTech Serie 3 con mapeo laser;Robots aspiradore de gama basica para uso domestico, con prestaciones equilibradas y garantia oficial.;Limpieza;Limpieza;Robots aspiradores;HomeTech;Basica;Crema;No aplica;729.99;438.2;Central Electro Iberica;2023-10-16;Si;36;5.64
ART000289;LIMROB-00289;Robot aspirador Nordline Serie 7 con mapeo laser;Robots aspiradore de gama media para uso domestico, con prestaciones equilibradas y garantia oficial.;Limpieza;Limpieza;Robots aspiradores;Nordline;Media;Crema;No aplica;299.99;179.99;Central Electro Iberica;2024-09-20;Si;60;7.08
ART000294;LIMLIM-00294;Limpiadora de vapor Nordline Advance 4 bares;Limpiadoras de vapor de gama alta para uso domestico, con prestaciones equilibradas y garantia oficial.;Limpieza;Limpieza;Limpiadoras de vapor;Nordline;Alta;Crema;No aplica;179.99;102.38;IberHome Supply;2022-11-11;Si;48;5.43
ART000295;LIMLIM-00295;Limpiadora de vapor Balayra Serie 5 4 bares;Limpiadoras de vapor de gama alta para uso domestico, con prestaciones equilibradas y garantia oficial.;Limpieza;Limpieza;Limpiadoras de vapor;Balayra;Alta;Grafito;No aplica;319.99;215.11;Hogar Norte Distribucion;2025-09-25;Si;24;1.74
ART000296;LIMLIM-00296;Limpiadora de vapor EcoWash Serie 5 4 bares;Limpiadoras de vapor de gama alta para uso domestico, con prestaciones equilibradas y garantia oficial.;Limpieza;Limpieza;Limpiadoras de vapor;EcoWash;Alta;Crema;No aplica;219.99;151.93;Central Electro Iberica;2025-05-24;Si;24;4.46
ART000297;LIMLIM-00297;Limpiadora de vapor HomeTech Plus 5 bares;Limpiadoras de vapor de gama media para uso domestico, con prestaciones equilibradas y garantia oficial.;Limpieza;Limpieza;Limpiadoras de vapor;HomeTech;Media;Plata;No aplica;139.99;84.2;Hogar Norte Distribucion;2025-12-24;Si;36;1.22
ART000299;LIMLIM-00299;Limpiadora de vapor Balayra Plus 4 bares;Limpiadoras de vapor de gama media para uso domestico, con prestaciones equilibradas y garantia oficial.;Limpieza;Limpieza;Limpiadoras de vapor;Balayra;Media;Inox;No aplica;109.99;62.54;Atlante Retail Supply;2025-04-04;Si;48;3.88
ART000301;LIMLIM-00301;Limpiadora de vapor EcoWash Serie 5 3 bares;Limpiadoras de vapor de gama basica para uso domestico, con prestaciones equilibradas y garantia oficial.;Limpieza;Limpieza;Limpiadoras de vapor;EcoWash;Basica;Negro;No aplica;179.99;110.96;Central Electro Iberica;2022-02-01;Si;24;6.5
ART000306;PEQCAF-00306;Cafetera Nordline Serie 7 capsulas;Cafetera de gama basica para uso domestico, con prestaciones equilibradas y garantia oficial.;Pequeno electrodomestico;Pequeno electrodomestico;Cafeteras;Nordline;Basica;Plata;No aplica;299.99;188.84;Central Electro Iberica;2022-01-21;Si;24;1.86
ART000318;PEQCAF-00318;Cafetera HomeTech Serie 5 espresso;Cafetera de gama media para uso domestico, con prestaciones equilibradas y garantia oficial.;Pequeno electrodomestico;Pequeno electrodomestico;Cafeteras;HomeTech;Media;Blanco;No aplica;729.99;494.11;Mediterranea Electro;2022-08-26;Si;48;5.75
ART000319;PEQCAF-00319;Cafetera KitchNova Serie 7 espresso;Cafetera de gama basica para uso domestico, con prestaciones equilibradas y garantia oficial.;Pequeno electrodomestico;Pequeno electrodomestico;Cafeteras;KitchNova;Basica;Blanco;No aplica;689.99;492.29;Central Electro Iberica;2023-10-21;Si;24;4.14
ART000321;PEQCAF-00321;Cafetera Nordline Serie 3 capsulas;Cafetera de gama media para uso domestico, con prestaciones equilibradas y garantia oficial.;Pequeno electrodomestico;Pequeno electrodomestico;Cafeteras;Nordline;Media;Inox;No aplica;209.99;148.76;IberHome Supply;2022-07-28;Si;36;6.18
ART000324;PEQFRE-00324;Freidora de aire NovaCasa Serie 5 8 litros;Freidoras de aire de gama media para uso domestico, con prestaciones equilibradas y garantia oficial.;Pequeno electrodomestico;Pequeno electrodomestico;Freidoras de aire;NovaCasa;Media;Crema;No aplica;279.99;181.61;Hogar Norte Distribucion;2023-01-10;Si;36;3.55
ART000326;PEQFRE-00326;Freidora de aire HomeTech Serie 3 5 litros;Freidoras de aire de gama media para uso domestico, con prestaciones equilibradas y garantia oficial.;Pequeno electrodomestico;Pequeno electrodomestico;Freidoras de aire;HomeTech;Media;Blanco;No aplica;119.99;69.05;Central Electro Iberica;2024-01-08;Si;36;4.41
ART000341;PEQBAT-00341;Batidora ElectraHome Advance 600 W;Batidora de gama media para uso domestico, con prestaciones equilibradas y garantia oficial.;Pequeno electrodomestico;Pequeno electrodomestico;Batidoras;ElectraHome;Media;Inox;No aplica;39.99;24.2;IberHome Supply;2024-12-18;Si;24;3.29
ART000342;PEQBAT-00342;Batidora NovaCasa Advance 1200 W;Batidora de gama basica para uso domestico, con prestaciones equilibradas y garantia oficial.;Pequeno electrodomestico;Pequeno electrodomestico;Batidoras;NovaCasa;Basica;Crema;No aplica;59.99;32.69;Hogar Norte Distribucion;2024-06-26;Si;24;6.37
ART000344;PEQBAT-00344;Batidora KitchNova Plus 800 W;Batidora de gama media para uso domestico, con prestaciones equilibradas y garantia oficial.;Pequeno electrodomestico;Pequeno electrodomestico;Batidoras;KitchNova;Media;Blanco;No aplica;169.99;118.23;Hogar Norte Distribucion;2023-05-25;Si;24;5.95
ART000348;PEQBAT-00348;Batidora EcoWash Advance 600 W;Batidora de gama media para uso domestico, con prestaciones equilibradas y garantia oficial.;Pequeno electrodomestico;Pequeno electrodomestico;Batidoras;EcoWash;Media;Crema;No aplica;49.99;33.44;Mediterranea Electro;2024-11-19;Si;60;4.04
ART000350;PEQROB-00350;Robot de cocina Balayra Advance 3.5 litros;Robots de cocina de gama basica para uso domestico, con prestaciones equilibradas y garantia oficial.;Pequeno electrodomestico;Pequeno electrodomestico;Robots de cocina;Balayra;Basica;Negro;No aplica;269.99;182.1;Central Electro Iberica;2023-02-02;Si;36;5.8
ART000351;PEQROB-00351;Robot de cocina Nordline Advance 3.5 litros;Robots de cocina de gama basica para uso domestico, con prestaciones equilibradas y garantia oficial.;Pequeno electrodomestico;Pequeno electrodomestico;Robots de cocina;Nordline;Basica;Blanco;No aplica;519.99;335.6;Central Electro Iberica;2022-10-02;Si;24;2.05
ART000360;PEQROB-00360;Robot de cocina CleanBot Serie 7 4.5 litros;Robots de cocina de gama basica para uso domestico, con prestaciones equilibradas y garantia oficial.;Pequeno electrodomestico;Pequeno electrodomestico;Robots de cocina;CleanBot;Basica;Negro;No aplica;709.99;425.1;Central Electro Iberica;2022-01-12;Si;36;4.29
